suite,region_number,group,model,match_plural,match_sing,mismatch_plural,mismatch_sing
SVNA-orc,7,1010,gpt2,7.740553,7.936675,11.336713,8.637131
SVNA-orc,7,1010,grnn,5.123765,4.921309,5.999019,7.279292
SVNA-orc,7,1010,human,633.3333333333334,914,733,1012.125
SVNA-orc,7,1010,jrnn,4.376238,4.826594,6.055298,6.815393
SVNA-orc,7,1010,llama,5.94062269424799,5.99292960471367,10.1960101299978,10.6799438775617
SVNA-orc,7,1010,rnng,5.087260000000001,5.982246666666666,5.35802,8.172400000000001
SVNA-orc,7,1011,gpt2,4.712545,5.331532,8.559211,8.006657
SVNA-orc,7,1011,grnn,8.705636,7.524633,8.56569,9.278659
SVNA-orc,7,1011,human,881.7777777777778,581.3333333333334,831.5,848.75
SVNA-orc,7,1011,jrnn,7.019171,5.936367,6.630641,6.89428
SVNA-orc,7,1011,llama,4.70521450770793,5.00905486584961,9.11583823983987,6.96082540566379
SVNA-orc,7,1011,rnng,3.3753500000000005,3.45459,7.627983333333333,6.732690000000001
SVNA-orc,7,1012,gpt2,5.98992,5.743131,8.72379,8.602247
SVNA-orc,7,1012,grnn,9.600732,8.977083,8.895986,9.326956
SVNA-orc,7,1012,human,869.75,829,863.3333333333334,758.3333333333334
SVNA-orc,7,1012,jrnn,8.4323340000000009,8.633003,6.55116,9.133026
SVNA-orc,7,1012,llama,6.53582546251378,7.23578391089832,9.32792109291203,11.1422185659925
SVNA-orc,7,1012,rnng,4.6456333333333335,5.329386666666666,8.11468,9.346176666666667
SVNA-orc,7,1013,gpt2,4.945107,4.811618,8.420577,9.615079
SVNA-orc,7,1013,grnn,5.708159,4.715117,7.896247,6.890801
SVNA-orc,7,1013,human,722.8,719.9090909090909,835.5555555555555,779
SVNA-orc,7,1013,jrnn,8.452317,5.907455,7.686144,11.015458
SVNA-orc,7,1013,llama,5.99525301387092,6.17267803757166,8.24869765304618,12.8689051293006
SVNA-orc,7,1013,rnng,4.602696666666667,5.035463333333333,7.4433966666666675,9.830956666666667
SVNA-orc,7,1014,gpt2,13.194644,14.196221,16.458484,17.310907
SVNA-orc,7,1014,grnn,18.549793,17.002195,18.418829,17.406982
SVNA-orc,7,1014,human,1382,1093.6,1102.8181818181818,1447.5
SVNA-orc,7,1014,jrnn,14.932177,16.387276,15.994598,16.766172
SVNA-orc,7,1014,llama,17.9393820668075,18.196848456561,20.158284406939,21.4920580443382
SVNA-orc,7,1014,rnng,8.754666666666667,9.783619999999999,10.810133333333333,12.477166666666667
SVNA-orc,7,1015,gpt2,16.862895,16.508539,17.700222,16.398107
SVNA-orc,7,1015,grnn,17.956789,21.158983,19.935389,17.852179
SVNA-orc,7,1015,human,1345,1189.5,1485.6,1335.5833333333333
SVNA-orc,7,1015,jrnn,17.027199,17.993521,16.17164,17.959444
